,genres,overview,popularity,title,vote_average,vote_count,wr,year
13,"['Adventure', 'Action', 'Science Fiction']","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",19.470959,The Empire Strikes Back,8,5998,7.814099056247579,1980
14,"['Crime', 'Mystery', 'Thriller']","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,Se7en,8,5915,7.81166878717663,1995
15,"['History', 'Drama', 'Thriller', 'War']","Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",31.595940000000002,The Imitation Game,8,5895,7.811073649831636,2014
16,"['Family', 'Animation', 'Drama']",A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,21.605760999999998,The Lion King,8,5520,7.799174526332621,1994
17,"['Drama', 'Comedy']",A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,16.086919,The Intouchables,8,5410,7.7953944438371705,2011
18,"['Comedy', 'Drama']","The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",14.442048000000002,The Grand Budapest Hotel,8,4644,7.764530352458532,2014
19,"['Crime', 'Drama', 'Thriller']","FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",4.307222,The Silence of the Lambs,8,4549,7.760041165921017,1991
20,"['Drama', 'Mystery', 'Thriller']","A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",16.94556,The Prestige,8,4510,7.758148286768694,2006
21,"['Drama', 'History', 'War']",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725122999999996,Schindler's List,8,4436,7.754473332604605,1993
22,['Drama'],"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",64.29999000000001,Whiplash,8,4376,7.7514106298928125,2014
23,"['Thriller', 'Crime', 'Drama']","Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,Leon: The Professional,8,4293,7.747045722399921,1994
24,"['Mystery', 'Thriller']","Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",15.450789000000002,Memento,8,4168,7.7401749521478544,2000
25,"['Fantasy', 'Drama', 'Crime']","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",19.96678,The Green Mile,8,4166,7.740061984735744,1999
26,"['Fantasy', 'Adventure', 'Animation', 'Family']",A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,41.048867,Spirited Away,8,3968,7.728370088547121,2001
27,"['Horror', 'Thriller']","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",19.611589000000002,The Shining,8,3890,7.723470196527388,1980
28,"['Crime', 'Thriller']","A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",12.22034,Reservoir Dogs,8,3821,7.718985929444048,1992
29,"['Comedy', 'Drama']",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,39.39497,Life Is Beautiful,8,3643,7.706716980570131,1997
30,"['Science Fiction', 'Drama']","Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",17.112594,A Clockwork Orange,8,3432,7.690710069783866,1971
31,"['Drama', 'Crime']","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",36.629307,The Godfather: Part II,8,3418,7.689585963080069,1974
32,"['Drama', 'Crime', 'Thriller']","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,The Usual Suspects,8,3334,7.682665904932172,1995
33,"['Drama', 'Crime']","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",15.424092000000002,GoodFellas,8,3211,7.671957511600666,1990
34,['Drama'],"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",18.157166,American History X,8,3120,7.6635579993765965,1998
35,"['Action', 'Crime', 'Drama', 'Thriller']","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",11.299673,Scarface,8,3017,7.653516409673841,1983
36,['Drama'],"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",35.529554,One Flew Over the Cuckoo's Nest,8,3001,7.651902512309877,1975
37,"['Drama', 'Thriller']",Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,12.443291,Room,8,2838,7.634561469983015,2015
38,['Drama'],"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",19.905716,Dead Poets Society,8,2786,7.628659978193921,1989
39,"['Crime', 'Drama']","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,Taxi Driver,8,2632,7.61000819627672,1976
40,"['Drama', 'Horror', 'Thriller']","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.",36.826309,Psycho,8,2405,7.578825336310119,1960
41,['Western'],"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",16.788787,"The Good, the Bad and the Ugly",8,2371,7.573720188871453,1966
42,['Drama'],"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",16.503959,12 Angry Men,8,2130,7.533652546717795,1957
43,"['Drama', 'War']","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",13.5963,Apocalypse Now,8,2112,7.530355510520199,1979
44,"['Fantasy', 'Animation', 'Adventure']","When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home.",16.136048000000002,Howl's Moving Castle,8,2049,7.518439440106494,2004
45,"['Adventure', 'Fantasy', 'Animation']","Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",17.166725,Princess Mononoke,8,2041,7.5168828807209795,1997
46,"['Comedy', 'Drama', 'Romance']","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",34.457024,Dilwale Dulhania Le Jayenge,9,661,7.511675917611347,1995
47,"['Drama', 'Thriller', 'Mystery', 'Action']","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",10.616859,Oldboy,8,2000,7.508744917742163,2003
48,"['Drama', 'War']",The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,14.811594,The Pianist,8,1927,7.4935557517087785,2002
49,"['Drama', 'Crime']","Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom.",14.959270000000002,City of God,8,1852,7.47694012676484,2002
50,"['Fantasy', 'Animation', 'Family']","Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",13.507299,My Neighbor Totoro,8,1730,7.447451538717387,1988
51,['Drama'],"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",17.085145,Lion,8,1699,7.439421064127719,2016
52,"['Drama', 'Mystery', 'Thriller']","Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.",17.911314,Rear Window,8,1531,7.3914937047248985,1954
53,"['Drama', 'Comedy', 'War']","Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",9.803980000000001,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1472,7.372657465784064,1964
54,"['Mystery', 'Drama']","Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",15.811921,Citizen Kane,8,1244,7.287416644686785,1941
55,"['Mystery', 'Romance', 'Thriller']","A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",18.20822,Vertigo,8,1162,7.250805219163174,1958
56,['Western'],This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,15.589351,Once Upon a Time in the West,8,1160,7.249865200617582,1968
57,"['Drama', 'Crime']","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",32.182851,Once Upon a Time in America,8,1104,7.222552099989874,1984
58,"['Drama', 'Family', 'Fantasy']","George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin.",15.031588000000001,It's a Wonderful Life,8,1103,7.222046278324285,1946
59,"['Romance', 'Animation', 'Drama']","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",34.461252,Your Name.,8,1030,7.183254870071329,2016
60,"['Animation', 'Drama', 'War']","In the latter part of World War II, a boy and his sister, orphaned when their mother is killed in the firebombing of Tokyo, are left to survive on their own in what remains of civilian life in Japan. The plot follows this boy and his sister as they do their best to survive in the Japanese countryside, battling hunger, prejudice, and pride in their own quiet, personal battle.",0.010902,Grave of the Fireflies,8,974,7.150770688767348,1988
61,"['Action', 'Drama']","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.",15.01777,Seven Samurai,8,892,7.0982542456896125,1954
62,"['Drama', 'Comedy']",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,8.159556,Modern Times,8,881,7.09071112531135,1936
63,"['Comedy', 'Romance']","Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",11.845107,Some Like It Hot,8,835,7.057750299278506,1959
64,"['Drama', 'Romance']","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",14.177005,Cinema Paradiso,8,834,7.0570072001454465,1988
65,['Comedy'],Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,9.241748,The Great Dictator,8,756,6.995197588054139,1940
66,"['Animation', 'Family', 'Romance']",An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,7.198633,Paperman,8,734,6.976271515226392,2012
67,['Drama'],"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",14.876085999999999,Mommy,8,734,6.976271515226392,2014
68,"['Action', 'Drama', 'War']","Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",7.903731,Band of Brothers,8,725,6.968321941142732,2001
69,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",185.070892,Avatar,7,12114,6.939295914072714,2009
70,"['Science Fiction', 'Action', 'Adventure']","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",89.887648,The Avengers,7,12000,6.938739354172786,2012
71,"['Action', 'Adventure', 'Comedy']","Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",187.860492,Deadpool,7,11444,6.935871790687357,2016
72,"['Drama', 'Western']","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",19.785025,Django Unchained,7,10297,6.929017345054928,2012
73,"['Action', 'Science Fiction', 'Adventure']","Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",53.291601,Guardians of the Galaxy,7,10014,6.927094671686871,2014
74,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",29.36178,Mad Max: Fury Road,7,9629,6.924305389027569,2015
75,"['Action', 'Crime', 'Drama', 'Thriller']","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",20.58258,The Dark Knight Rises,7,9263,6.92144839948277,2012
76,"['Action', 'Science Fiction']","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",33.366332,The Matrix,7,9079,6.919929058108318,1999
77,"['Action', 'Science Fiction', 'Adventure']","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",22.073099,Iron Man,7,8951,6.918836987723434,2008
78,"['Romance', 'Drama', 'Music']",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,10.672862,Sing Street,8,669,6.915943000711174,2016
79,"['Adventure', 'Fantasy', 'Action']","Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",23.253089000000003,The Hobbit: An Unexpected Journey,7,8427,6.914037369347074,2012
80,"['Drama', 'Science Fiction']","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",14.487867000000001,Metropolis,8,666,6.912986481622205,1927
81,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",31.626013,Star Wars: The Force Awakens,7,7993,6.909610196960297,2015
82,"['Drama', 'Romance', 'Thriller']","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",26.88907,Titanic,7,7770,6.907153233762119,1997
83,"['Action', 'Crime', 'Drama']","Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",28.505340999999998,Batman Begins,7,7511,6.9041265109860825,2005
84,"['Adventure', 'Action', 'Science Fiction']","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",145.882135,Captain America: Civil War,7,7462,6.903531551391138,2016
85,"['Drama', 'Adventure', 'Science Fiction']","During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",25.629929999999998,The Martian,7,7442,6.903286583263639,2015
86,"['Adventure', 'Fantasy', 'Action']","Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.326665000000006,Pirates of the Caribbean: The Curse of the Black Pearl,7,7191,6.900102967840581,2003
87,"['Adventure', 'Fantasy', 'Family']","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",38.187238,Harry Potter and the Philosopher's Stone,7,7188,6.900063648620365,2001
88,"['Animation', 'Comedy', 'Family', 'Adventure']","Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",19.330884,Up,7,7048,6.898193682141731,2009
89,"['Action', 'Adventure', 'Science Fiction']","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",37.37942,Avengers: Age of Ultron,7,6908,6.896252401223703,2015
90,"['Crime', 'Drama', 'Comedy']","A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",16.382422000000002,The Wolf of Wall Street,7,6768,6.894235647012556,2013
91,"['Drama', 'Comedy', 'Animation', 'Family']","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",23.985587,Inside Out,7,6737,6.893778431151085,2015
